camera_uid,department_code,department_name,external_camera_id,name,longitude,latitude,geocode_precision,geocode_district,camera_type,camera_technology,connectivity,ownership_class,site_type,current_status,codec,resolution,frame_rate,encryption,is_live,archive_seconds,stream_protocols,primary_stream_url,source_type
GJ-SEN-000001,SEN,Sentinel Sandbox,cam01,01 Chiman bhai Bridge,72.29684815256834,22.74507591770548,district,Ahmadabad,fixed,ip,fiber,government,public_space,online,h264,1920x1080,30.0,AES-128,False,43197.413,hls|rtsp|whep,https://cctv.corp8.cloud/cam01/index.m3u8,adapter
GJ-SEN-000002,SEN,Sentinel Sandbox,cam02,02 Janpath,72.29684815256834,22.74507591770548,district,Ahmadabad,fixed,ip,fiber,government,public_space,online,h264,1920x1080,30.0,AES-128,False,43200.283,hls|rtsp|whep,https://cctv.corp8.cloud/cam02/index.m3u8,adapter
GJ-SEN-000003,SEN,Sentinel Sandbox,cam03,03 O.N.G.C. Office,72.29684815256834,22.74507591770548,district,Ahmadabad,fixed,ip,fiber,government,public_space,offline,h264,1280x720,30.0,AES-128,False,43191.784,hls|rtsp|whep,https://cctv.corp8.cloud/cam03/index.m3u8,adapter
GJ-SEN-000004,SEN,Sentinel Sandbox,cam04,04 Paldi Circle,72.29684815256834,22.74507591770548,district,Ahmadabad,fixed,ip,fiber,government,public_space,online,h264,1920x1080,,AES-128,False,43200.53,hls|rtsp|whep,https://cctv.corp8.cloud/cam04/index.m3u8,adapter
GJ-SEN-000005,SEN,Sentinel Sandbox,cam05,05 Visat teen Rasta,72.29684815256834,22.74507591770548,district,Ahmadabad,fixed,ip,fiber,government,public_space,online,h264,1920x1080,30.0,AES-128,False,43200.503,hls|rtsp|whep,https://cctv.corp8.cloud/cam05/index.m3u8,adapter
GJ-SEN-000006,SEN,Sentinel Sandbox,cam06,06 Timbavadi gate-Junagadh,70.42511083855189,21.33673472857135,district,Junagadh,fixed,ip,fiber,government,public_space,online,h264,1920x1080,25.0,AES-128,False,88138.2,hls|rtsp|whep,https://cctv.corp8.cloud/cam06/index.m3u8,adapter
GJ-SEN-000007,SEN,Sentinel Sandbox,cam07,07 hero-showroom-gir-somnath,70.6869004165384,20.990358498645055,district,Gir Somnath,fixed,ip,fiber,government,public_space,online,h264,1920x1080,25.0,AES-128,False,43136.32,hls|rtsp|whep,https://cctv.corp8.cloud/cam07/index.m3u8,adapter
GJ-SEN-000008,SEN,Sentinel Sandbox,cam08,08 majewadi-gate-junagadh,70.42511083855189,21.33673472857135,district,Junagadh,fixed,ip,fiber,government,public_space,online,h264,1920x1080,25.0,AES-128,False,43129.68,hls|rtsp|whep,https://cctv.corp8.cloud/cam08/index.m3u8,adapter
GJ-SEN-000009,SEN,Sentinel Sandbox,cam09,09 new-bypass-near-by-circle-junagadh-2,70.42511083855189,21.33673472857135,district,Junagadh,fixed,ip,fiber,government,public_space,offline,h264,1920x1080,25.0,AES-128,False,43042.24,hls|rtsp|whep,https://cctv.corp8.cloud/cam09/index.m3u8,adapter
GJ-SEN-000010,SEN,Sentinel Sandbox,cam10,10 char-chowk-road-2-junagadh,70.42511083855189,21.33673472857135,district,Junagadh,fixed,ip,fiber,government,public_space,online,h264,1920x1080,25.0,AES-128,False,43020.92,hls|rtsp|whep,https://cctv.corp8.cloud/cam10/index.m3u8,adapter
